Common_Name,Botanical_Name,Category,Plan_Symbol_File,Plan_Symbol_Type,Icon_Label,Plan_Symbol_Color
Lysimachia Waikiki Sunset&#8482;,Lysimachia congestiflora,PERENNIALS,40.svg,airy-branching-flower,Airy branching flower,#C899BE
Marguerite Daisy,Argyranthemum frutescens,PERENNIALS,82.svg,small-flower-cluster,Small flower cluster,#BE79AB
Martha Washington Geranium,Pelargonium x domesticum,PERENNIALS,59.svg,lobed-flower,Lobed flower,#CDA7BC
Matilija Poppy / Fried Egg Poppy,Romneya coulteri,PERENNIALS,109.svg,simple-dot-canopy,Simple dot canopy,#C497B6
Mazus,Mazus reptans,PERENNIALS,79.svg,split-leaf-accent,Split leaf accent,#C488A8
Mexican Evening Primrose,Oenothera speciosa 'Siskiyou',PERENNIALS,61.svg,textured-low-mat,Textured low mat,#D791B2
Mexican Petunia,Ruellia brittoniana,PERENNIALS,66.svg,speckled-groundcover-mat,Speckled groundcover mat,#C08BA8
Mezoo&#8482; Trailing Red Livingstone Daisy,Aptenia cordifolia 'Mezoo Trailing Red',PERENNIALS,85.svg,tangled-vine-mass,Tangled vine mass,#E18F7B
Mondo Grass,Ophiopogon japonicus 'Nana',PERENNIALS,24.svg,dense-textured-groundcover,Dense textured groundcover,#92AD57
Moneywort,Lysimachia nummularia 'Goldilocks',PERENNIALS,91.svg,loose-groundcover-mass,Loose groundcover mass,#DBBA56
Monkey Flower,Mimulus Assorted,PERENNIALS,8.svg,flowing-groundcover,Flowing groundcover,#BD7FA3
Ivy 'Needlepoint',Hedera helix 'Needlepoint',PERENNIALS,36.svg,vine-branching,Vine branching,#D09FB8
African Daisy,Osteospermum fruticosum,PERENNIALS,54.svg,soft-round-shrub,Soft round shrub,#CC8AC4
Charmed&#174; Wine Shamrock,Oxalis triangularis 'Charmed Wine',PERENNIALS,51.svg,dense-ring-shrub,Dense ring shrub,#D2ADC3
Pachysedum 'Ganzhou',,PERENNIALS,70.svg,wide-petal-rosette,Wide petal rosette,#839D99
Pachyveria 'Blue Pearl',Pachyveria 'Blue Pearl',PERENNIALS,72.svg,simple-leaf-rosette,Simple leaf rosette,#8A81C1
Panda Plant,Kalanchoe tomentosa 'Panda Plant',PERENNIALS,99.svg,angular-rosette,Angular rosette,#D298C3
Pericallis 'Senetti',,PERENNIALS,84.svg,round-flower-cluster,Round flower cluster,#CAA0BE
Periwinkle,Vinca minor,PERENNIALS,62.svg,lobed-groundcover,Lobed groundcover,#D2A7C5
Periwinkle 'Bowles Mauve',Vinca minor 'Bowles Mauve',PERENNIALS,42.svg,wispy-upright-grass,Wispy upright grass,#D39DC2
Periwinkle 'Sterling Silver',Vinca minor 'Sterling Silver',PERENNIALS,8.svg,flowing-groundcover,Flowing groundcover,#7AA69E
Peruvian Lily,Alstroemeria Assorted,PERENNIALS,44.svg,succulent-leaf-cluster,Succulent leaf cluster,#D1A8BE
Pincushion Flower,Scabiosa Assorted,PERENNIALS,53.svg,daisy-flower,Daisy flower,#C78FB2
Pineapple Sage 'Golden Delicious',Salvia elegans 'Golden Delicious',PERENNIALS,30.svg,loose-vine-groundcover,Loose vine/groundcover,#D9BF39
Pink Crystal Grass,Melinus nerviglumis 'Pink Crystal',PERENNIALS,65.svg,segmented-spiky-plant,Segmented spiky plant,#DF9DB1
Pink Muhly Grass,Muhlenbergia capillaris,PERENNIALS,72.svg,simple-leaf-rosette,Simple leaf rosette,#D173B3
Plumetastic&#174 Pink Muhly Grass | Monrovia,Muhlenbergia capillaris 'Plumetastic',PERENNIALS,65.svg,segmented-spiky-plant,Segmented spiky plant,#E0A2C2
Platt's Black Brass Buttons,Leptinella squalida 'Platt's Black',PERENNIALS,111.svg,rocky-broken-shrub,Rocky broken shrub,#BD7AAD
Poppy-Flowered Anemone,Anemone coronaria,PERENNIALS,1.svg,flowering-accent,Flowering accent,#E36E76
PowWow&#174; White Coneflower,Echinacea purpurea 'PowWow White',PERENNIALS,49.svg,airy-flower-spike,Airy flower spike,#B9C5AF
PowWow&#174; Wild Berry Coneflower,Echinacea purpurea 'PowWow Wild Berry',PERENNIALS,102.svg,flowering-branch-cluster,Flowering branch cluster,#D4A5BB
Purple Heart,Tradescantia pallida,PERENNIALS,19.svg,broadleaf-accent,Broadleaf accent,#CC8FAB
Rain Lily,,PERENNIALS,80.svg,small-leaf-rosette,Small leaf rosette,#C681B1
Red Echeveria,Echeveria harmsii,PERENNIALS,80.svg,small-leaf-rosette,Small leaf rosette,#D6727C
Red Fountain Grass,Pennisetum setaceum 'Rubrum',PERENNIALS,48.svg,upright-stem-burst,Upright stem burst,#E06F58
Red Hot Poker 'Flamenco',Kniphofia uvaria,PERENNIALS,14.svg,broadleaf-rosette,Broadleaf rosette,#D06C63
Red Hot Poker 'Popsicle',Kniphofia uvaria,PERENNIALS,44.svg,succulent-leaf-cluster,Succulent leaf cluster,#DD766A
Rieger Begonia,,PERENNIALS,64.svg,fine-radial-perennial,Fine radial perennial,#D194B5
Rock Purslane,Calandrinia spectabilis,PERENNIALS,6.svg,boulder-rock,Boulder / rock,#CC99B5
Rush 'Elk Blue',Juncus patens 'Elk Blue',PERENNIALS,50.svg,bold-spiky-rosette,Bold spiky rosette,#8275C7
Russian Sage,Perovskia atriplicifolia,PERENNIALS,48.svg,upright-stem-burst,Upright stem burst,#9CA8C9
Russian Sage 'Blue Spire',Perovskia atriplicifolia 'Blue Spire',PERENNIALS,30.svg,loose-vine-groundcover,Loose vine/groundcover,#9693CE
Russian Sage 'Little Spire',Perovskia atriplicifolia 'Little Spire',PERENNIALS,72.svg,simple-leaf-rosette,Simple leaf rosette,#8799CF
Sage,Salvia microphylla 'Hot Lips',PERENNIALS,49.svg,airy-flower-spike,Airy flower spike,#8892CE
Sage 'Mirage',Salvia greggii 'Mirage',PERENNIALS,25.svg,fine-grass-burst,Fine grass burst,#A59DD2
Sage 'Mystic Spires Blue',Salvia 'Mystic Spires Blue',PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#9C9AD6
Sage,,PERENNIALS,63.svg,round-petal-flower,Round petal flower,#969FCA
Salvia 'Black and Blue',Salvia guaranitica 'Black & Blue',PERENNIALS,95.svg,petal-ring-flower,Petal ring flower,#827CBC
Salvia,,PERENNIALS,95.svg,petal-ring-flower,Petal ring flower,#9096D1
Salvia 'Marvel',,PERENNIALS,33.svg,strappy-rosette,Strappy rosette,#7888CA
Salvia 'Patio Sky Blue',Salvia patens 'Patio Sky Blue',PERENNIALS,64.svg,fine-radial-perennial,Fine radial perennial,#8D9EC9
Santa Barbara Daisy,Erigeron karvinskianus,PERENNIALS,57.svg,open-shrub-mass,Open shrub mass,#D47F9B
Saxifrage,Saxifraga Assorted,PERENNIALS,110.svg,dense-broken-shrub,Dense broken shrub,#C982A8
Sea Lavender,Limonium perezii,PERENNIALS,39.svg,leaf-star-rosette,Leaf star rosette,#9AA3C6
Sea Thrift 'Alliacea',Armeria alliacea,PERENNIALS,63.svg,round-petal-flower,Round petal flower,#BE8EB3
Sea Thrift Pink,Armeria maritima,PERENNIALS,58.svg,simple-flower,Simple flower,#D480B9
Sedge 'Evergold',Carex oshimensis 'Evergold',PERENNIALS,83.svg,needle-leaf-clump,Needle leaf clump,#D6BD56
Sedge 'Everillo',Carex oshimensis 'Everillo',PERENNIALS,50.svg,bold-spiky-rosette,Bold spiky rosette,#93A974
Sedge 'Feather Falls',Carex oshimensis 'Feather Falls',PERENNIALS,108.svg,sharp-radial-grass,Sharp radial grass,#89A753
Atlantis&#174; Sedum,Sedum takesimense 'Atlantis' PP#27454,PERENNIALS,79.svg,split-leaf-accent,Split leaf accent,#84A5A5
Sedum 'Autumn Fire',Sedum spectabile 'Autumn Fire',PERENNIALS,50.svg,bold-spiky-rosette,Bold spiky rosette,#93B0AE
Sempervivum 'Appletini',,PERENNIALS,52.svg,spiky-round-rosette,Spiky round rosette,#6B9469
Sempervivum 'Chocolate Kiss',Sempervivum 'Chocolate Kiss',PERENNIALS,108.svg,sharp-radial-grass,Sharp radial grass,#C883B4
Cobweb Hens & Chicks,Sempervivum arachnoideum,PERENNIALS,45.svg,radial-flower-rosette,Radial flower rosette,#CEA1C6
Sempervivum 'Silver King',Sempervivum 'Silver King',PERENNIALS,34.svg,pointed-succulent-rosette,Pointed succulent rosette,#7CAEA8
Sempervivum 'Strawberry Kiwi',Sempervivum 'Strawberry Kiwi',PERENNIALS,39.svg,leaf-star-rosette,Leaf star rosette,#C18AAC
Sempervivum ??Sunset??,,PERENNIALS,108.svg,sharp-radial-grass,Sharp radial grass,#C497AC
Senecio,Senecio serpens,PERENNIALS,79.svg,split-leaf-accent,Split leaf accent,#D5A4D1
Senecio ??Spear Head??,Senecio kleiniiformis ??Spear Head??,PERENNIALS,99.svg,angular-rosette,Angular rosette,#6FA85E
Shasta Daisy,Leucanthemum x superbum,PERENNIALS,1.svg,flowering-accent,Flowering accent,#C082A7
Skyscraper&#8482; Salvia,Skyscraper&#8482; Salvia Series,PERENNIALS,48.svg,upright-stem-burst,Upright stem burst,#7F79B4
Skyscraper&#8482; Senecio,Senecio ficoides 'Mount Everest',PERENNIALS,45.svg,radial-flower-rosette,Radial flower rosette,#CA87BE
Snake Flower,Bulbine frutescens,PERENNIALS,74.svg,segmented-radial-plant,Segmented radial plant,#C899BC
Snow In Summer,Cerastium tomentosum,PERENNIALS,73.svg,cloud-shrub-mound,Cloud shrub mound,#C6CAB4
Solomon's Seal,Polygonatum odoratum,PERENNIALS,75.svg,textured-round-groundcover,Textured round groundcover,#C794B7
Sombrero&#174; Adobe Orange Coneflower,Echinacea x Balsomador,PERENNIALS,70.svg,wide-petal-rosette,Wide petal rosette,#EEBD20
Sombrero&#174; Hot Coral Coneflower,Echinacea x Balsomador,PERENNIALS,3.svg,leafy-rosette,Leafy rosette,#BB7CB0
Sombrero&#174; Lemon Yellow Coneflower,Echinacea x Balsomador,PERENNIALS,35.svg,small-flowering-mound,Small flowering mound,#E3C444
Sombrero&#174; Sangrita Coneflower,Echinacea x Balsomador,PERENNIALS,14.svg,broadleaf-rosette,Broadleaf rosette,#D4A6C6
Spanish Lavender 'Dedication',Lavandula stoechas 'Dedication',PERENNIALS,41.svg,sharp-star-accent,Sharp star accent,#A6AACE
Spanish Lavender Patio Tree,Lavandula stoechas,PERENNIALS,39.svg,leaf-star-rosette,Leaf star rosette,#9E9BC6
Spanish Lavender 'Silver Anouk',Lavandula stoechas 'Silver Anouk',PERENNIALS,39.svg,leaf-star-rosette,Leaf star rosette,#8A9ED1
Veronica 'Georgia Blue',Veronica umbrosa 'Georgia Blue',PERENNIALS,33.svg,strappy-rosette,Strappy rosette,#8174C8
St. John's Wort,Hypericum calycinum,PERENNIALS,86.svg,branching-vine-shrub,Branching vine/shrub,#C176A6
Stonecrop,Sedum reflexum,PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#A9B8B8
Stonecrop,,PERENNIALS,52.svg,spiky-round-rosette,Spiky round rosette,#BD8FB5
Stonecrop,,PERENNIALS,52.svg,spiky-round-rosette,Spiky round rosette,#BD8FB5
Stonecrop 'Cape Blanco',Sedum 'Cape Blanco',PERENNIALS,80.svg,small-leaf-rosette,Small leaf rosette,#93A3A6
Stonecrop,Sedum nussbaumerianum 'Coppetone',PERENNIALS,27.svg,succulent-star-rosette,Succulent star rosette,#98B4B5
Stonecrop,Sedum spurium 'Dragon's Blood',PERENNIALS,94.svg,angular-conifer-canopy,Angular conifer canopy,#A9B7B9
Stonecrop 'Firestorm',Sedum adolphii 'Firestorm',PERENNIALS,103.svg,radial-spike-canopy,Radial spike canopy,#84B5AA
Stonecrop 'Oracle',Sedum forsterianum 'Oracle',PERENNIALS,27.svg,succulent-star-rosette,Succulent star rosette,#A0C2BC
Stonecrop,Sedum 'John Creech',PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#8EB5B4
Variegated Carpet Stonecrop,Sedum lineare 'Variegatum',PERENNIALS,63.svg,round-petal-flower,Round petal flower,#A0B8B3
Variegated Japanese Stonecrop,Sedum makinoi 'Variegatum',PERENNIALS,95.svg,petal-ring-flower,Petal ring flower,#A2B5B2
Stonecrop,Sedum morganianum 'Donkey Tail',PERENNIALS,52.svg,spiky-round-rosette,Spiky round rosette,#84A8B0
Stonecrop pachyclados,Sedum pachyclados,PERENNIALS,15.svg,geometric-rosette,Geometric rosette,#9FBFC3
Stonecrop pachyphyllum,Sedum pachyphyllum,PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#99B9B2
Stonecrop,Sedum rubrotinctum,PERENNIALS,41.svg,sharp-star-accent,Sharp star accent,#92B1B1
Stonecrop 'Sea Urchin',Sedum 'Sea Urchin',PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#899C9B
Stonecrop,,PERENNIALS,52.svg,spiky-round-rosette,Spiky round rosette,#BD8FB5
Strawberry 'Albion',,PERENNIALS,49.svg,airy-flower-spike,Airy flower spike,#D5A0BD
Strawberry 'Quinault',,PERENNIALS,58.svg,simple-flower,Simple flower,#CD84C1
String of Bananas,Senecio rowleyanus,PERENNIALS,103.svg,radial-spike-canopy,Radial spike canopy,#CA96B7
String of Pearls,Senecio rowleyanus,PERENNIALS,52.svg,spiky-round-rosette,Spiky round rosette,#7CA57B
String of Dolphins,Senecio rowleyanus,PERENNIALS,27.svg,succulent-star-rosette,Succulent star rosette,#CAA5B7
Sun Drops,,PERENNIALS,107.svg,fringed-round-shrub,Fringed round shrub,#C572BF
Sunrose,Helianthemum nummularium,PERENNIALS,62.svg,lobed-groundcover,Lobed groundcover,#DF89B2
Sunsparkler&#174; Cherry Tart Sedum,"Sedum hybrid 'Cherry Tart' PP#24,603",PERENNIALS,50.svg,bold-spiky-rosette,Bold spiky rosette,#9FBBC3
Sunsparkler&#174; Lime Zinger Sedum,Sedum hybrid 'Lime Zinger',PERENNIALS,15.svg,geometric-rosette,Geometric rosette,#7AA097
Superbells&#174; Series Calibrachoa,Grown by Matsuda's,PERENNIALS,85.svg,tangled-vine-mass,Tangled vine mass,#D9A6C9
Superbena&#174; Series Verbena,Grown by Matsuda's,PERENNIALS,12.svg,airy-branching-plant,Airy branching plant,#70B16E
Sweet Caroline Sweetheart Shadowstorm&#174;,Ipomoea batatas,PERENNIALS,98.svg,trailing-leaf-mass,Trailing leaf mass,#CB81BE
Sweet Potato Vine,Ipomoea batatas,PERENNIALS,86.svg,branching-vine-shrub,Branching vine/shrub,#BE89AC
Sweet Woodruff,Galium odoratum,PERENNIALS,79.svg,split-leaf-accent,Split leaf accent,#C591B9
Tall Verbena ??Meteor Shower??,Verbena bonariensis 'Meteor Shower',PERENNIALS,85.svg,tangled-vine-mass,Tangled vine mass,#A4C99D
Tapien&#174; Verbena,Tapien&#174; Verbena Series,PERENNIALS,102.svg,flowering-branch-cluster,Flowering branch cluster,#A5C19A
Woolly Thyme,Thymus pseudolanuginosus,PERENNIALS,111.svg,rocky-broken-shrub,Rocky broken shrub,#CCA3C6
Trailing Phlox,Phlox subulata,PERENNIALS,92.svg,smooth-lobed-groundcover,Smooth lobed groundcover,#CB86A5
Variegated Elephant Bush,Portulacaria afra 'Variegata',PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#C78FB3
Variegated Ground Ivy,Glechoma hederacea,PERENNIALS,24.svg,dense-textured-groundcover,Dense textured groundcover,#CA9BBF
Aztec&#174; Verbena,Aztec&#174; Verbena Series,PERENNIALS,40.svg,airy-branching-flower,Airy branching flower,#9FC399
Verbena 'Homestead',Verbena candensis 'Homestead',PERENNIALS,43.svg,fern-branching,Fern/branching foliage,#9ACE8D
Wallflower,Erysimum x 'Bowles Mauve',PERENNIALS,15.svg,geometric-rosette,Geometric rosette,#D18FBD
Hanging Basket 10,Hanging Basket Assorted,PERENNIALS,75.svg,textured-round-groundcover,Textured round groundcover,#CEACC2
White Star Creeper,Isotoma fluviatilis 'White Star',PERENNIALS,61.svg,textured-low-mat,Textured low mat,#C8CFB4
Woodland Sage,Salvia nemorosa,PERENNIALS,39.svg,leaf-star-rosette,Leaf star rosette,#7F8EB9
Yarrow,Achillea Assorted,PERENNIALS,101.svg,layered-flower-rosette,Layered flower rosette,#CFA6C0
Yarrow 'Little Moonshine',Achillea 'Little Moonshine',PERENNIALS,49.svg,airy-flower-spike,Airy flower spike,#C899B7
Yarrow 'New Vintage Violet',Achillea 'New Vintage Violet',PERENNIALS,31.svg,small-round-leaf-cluster,Small round leaf cluster,#B988A2
Yarrow 'New Vintage White',Achillea 'New Vintage White',PERENNIALS,82.svg,small-flower-cluster,Small flower cluster,#C7CABE
Yarrow 'Moonshine',Achillea 'Moonshine',PERENNIALS,102.svg,flowering-branch-cluster,Flowering branch cluster,#D29ECC
Zonal Geranium,Pelargonium hortorum,PERENNIALS,70.svg,wide-petal-rosette,Wide petal rosette,#C67BBE
All American Magic&#8482; Rose,"Rosa, Hybrid Tea 'All American Magic'",ROSES,9.svg,smooth-shrub-mass,Smooth shrub mass,#D58EB2
Black Baccara&#8482; Rose,"Rosa, Hybrid Tea 'Black Baccara'",ROSES,66.svg,speckled-groundcover-mat,Speckled groundcover mat,#D089A2
Bolero&#8482; Rose,,ROSES,73.svg,cloud-shrub-mound,Cloud shrub mound,#D079B4
Bridal Sunblaze&#174; Miniature Rose,"Rosa, Miniature 'Bridal Sunblaze'",ROSES,84.svg,round-flower-cluster,Round flower cluster,#D94164
Burst of Joy&#174; Rose,"Rosa, Floribunda 'Burst of Joy'",ROSES,111.svg,rocky-broken-shrub,Rocky broken shrub,#D386AC
Climbing Rose 'Don Juan',"Rosa, Climbing 'Don Juan'",ROSES,97.svg,round-leaf-vine-canopy,Round leaf vine canopy,#E59CCD
Eden&#174; Climbing Rose,,ROSES,86.svg,branching-vine-shrub,Branching vine/shrub,#D683BF
Climbing Rose 'Iceberg',,ROSES,97.svg,round-leaf-vine-canopy,Round leaf vine canopy,#DA98BD
Climbing Rose 'Joseph's Coat',"Rosa, Climbing 'Joseph's Coat'",ROSES,78.svg,airy-vine-cluster,Airy vine cluster,#DD95AB
Lady in Red&#8482; Climbing Rose,"Rosa, Climbing 'Lady in Red'",ROSES,37.svg,swirling-grass-vine,Swirling grass/vine,#DD8D74
Pretty in Pink Eden&#174; Climbing Rose,"Rosa, Climbing 'Pink Eden'",ROSES,36.svg,vine-branching,Vine branching,#DF93AB
Climbing Rose 'Royal Gold',"Rosa, Climbing 'Royal Gold'",ROSES,38.svg,vine-leaf-trail,Vine leaf trail,#DFB920
Climbing Rose 'Sally Holmes',"Rosa, Climbing 'Sally Holmes'",ROSES,85.svg,tangled-vine-mass,Tangled vine mass,#E19BBD
Dark Night&#8482; Rose,"Rosa, Hybrid Tea 'Dark Night'",ROSES,105.svg,soft-textured-round-shrub,Soft textured round shrub,#DDA4BA
Earth Angel&#8482; Rose,"Rosa, Hybrid Tea 'Earth Angel'",ROSES,67.svg,plain-round-shrub,Plain round shrub,#E7A0BB
Enchanted Peace&#8482; Rose,"Rosa, Hybrid Tea 'Enchanted Peace'",ROSES,67.svg,plain-round-shrub,Plain round shrub,#D16EA4
Flower Carpet&#174; Amber Rose,Rosa x 'Flower Carpet Amber',ROSES,77.svg,lobed-foliage-accent,Lobed foliage accent,#DA98BB
Landscape Rose 'Blush',Rosa x 'Landscape Blush',ROSES,92.svg,smooth-lobed-groundcover,Smooth lobed groundcover,#DA7F9B
Landscape Rose 'Coral',Rosa x 'Landscape Coral',ROSES,98.svg,trailing-leaf-mass,Trailing leaf mass,#D697C4
Flower Carpet&#174; Pink Splash Rose,Rosa x 'Flower Carpet Pink Splash',ROSES,40.svg,airy-branching-flower,Airy branching flower,#D999C8
Flower Carpet&#174; Pink Supreme Rose,Rosa x 'Flower Carpet Pink Supreme',ROSES,62.svg,lobed-groundcover,Lobed groundcover,#DDA4CD
Landscape Rose 'Red',Rosa x 'Landscape Red',ROSES,61.svg,textured-low-mat,Textured low mat,#D27290
Flower Carpet&#174; Scarlet Rose,Rosa x 'Flower Carpet Scarlet',ROSES,77.svg,lobed-foliage-accent,Lobed foliage accent,#D56AAF
Landscape Rose 'White',Rosa x 'Landscape White',ROSES,111.svg,rocky-broken-shrub,Rocky broken shrub,#D0799C
Flower Carpet&#174; Yellow Rose,Rosa x 'Flower Carpet Yellow',ROSES,66.svg,speckled-groundcover-mat,Speckled groundcover mat,#D8A859
George Burns&#8482; Rose,"Rosa, Floribunda 'George Burns'",ROSES,51.svg,dense-ring-shrub,Dense ring shrub,#D480AC
Rose 'Iceberg',,ROSES,102.svg,flowering-branch-cluster,Flowering branch cluster,#CE77B3
Mango Veranda&#174; Rose,"Rose, Floribunda 'Mango Veranda'",ROSES,60.svg,smooth-round-mound,Smooth round mound,#DD90B7
Memorial Day&#8482; Rose,"Rosa, Hybrid Tea 'Memorial Day'",ROSES,30.svg,loose-vine-groundcover,Loose vine/groundcover,#DCA0C4
All a' Twitter&#8482; Miniature Rose,"Rosa, Miniature 'All a'Twitter'",ROSES,49.svg,airy-flower-spike,Airy flower spike,#DDA0C5
Be My Baby&#8482; Miniature Rose,"Rosa, Miniature 'Be My Baby'",ROSES,101.svg,layered-flower-rosette,Layered flower rosette,#D36C8C
Miniature Rose 'Lemon Drop',"Rose, Miniature 'Lemon Drop'",ROSES,16.svg,large-flowering-plant,Large flowering plant,#D787AE
Miniature Rose 'Rainbow's End',"Rosa, Miniature 'Rainbow's End'",ROSES,84.svg,round-flower-cluster,Round flower cluster,#D995C5
Ruby Ruby&#8482; Miniature Rose,"Rosa, Miniature 'Ruby Ruby'",ROSES,58.svg,simple-flower,Simple flower,#D286BB
Oso Easy&#174; Double Pink&#174; Rose,"Rosa, 'Oso Easy Double Pink'",ROSES,75.svg,textured-round-groundcover,Textured round groundcover,#D57AAD
Oso Easy&#174; Double Red&#174; Rose,Rosa 'Oso Easy Double Red',ROSES,7.svg,irregular-shrub-canopy,Irregular shrub canopy,#D56376
Oso Easy&#174; Italian Ice&#174; Rose,Rosa 'Oso Easy Italian Ice',ROSES,24.svg,dense-textured-groundcover,Dense textured groundcover,#DFA8D0
Oso Easy&#174; Lemon Zest&#174; Rose,Rosa 'Oso Easy Italian Ice',ROSES,110.svg,dense-broken-shrub,Dense broken shrub,#D38BA5
Oso Easy&#174; Paprika&#174; Rose,Rosa 'Oso Easy Paprika',ROSES,55.svg,spiral-round-shrub,Spiral round shrub,#E5A1BD
Oso Easy&#174; Urban Legend&#174; Rose,Rosa 'Oso Easy Urban Legend',ROSES,54.svg,soft-round-shrub,Soft round shrub,#D37BB2
Perfume Factory&#8482; Rose,"Rosa, Hybrid Tea 'Perfume Factory'",ROSES,102.svg,flowering-branch-cluster,Flowering branch cluster,#DC8CA7
Queen Mary 2&#8482; Rose,"Rosa, Hybrid Tea 'Queen Mary 2'",ROSES,111.svg,rocky-broken-shrub,Rocky broken shrub,#D38BB9
Queen Mary 2&#8482; Rose Bareroot,"Rosa, Hybrid Tea 'Queen Mary 2'",ROSES,21.svg,irregular-shrub-mass,Irregular shrub mass,#D3869F
Quicksilver&#8482; Arborose&#174; Climbing Rose,"Rosa, Climbing 'Quicksilver Arborose'",ROSES,38.svg,vine-leaf-trail,Vine leaf trail,#D871A4
All Dressed Up&#8482; Rose,"Rosa, Grandiflora 'All Dressed Up'",ROSES,97.svg,round-leaf-vine-canopy,Round leaf vine canopy,#D584B1
Rose 'Barbra Streisand',"Rosa, Hybrid Tea 'Barbra Streisand'",ROSES,37.svg,swirling-grass-vine,Swirling grass/vine,#D47F95
Rose 'Blue Girl',"Rosa, Hybrid Tea 'Blue Girl'",ROSES,105.svg,soft-textured-round-shrub,Soft textured round shrub,#D18DBC
Rose 'Brandy',"Rosa, Hybrid Tea 'Brandy'",ROSES,24.svg,dense-textured-groundcover,Dense textured groundcover,#D89ABD
Chihuly&#174; Rose,,ROSES,30.svg,loose-vine-groundcover,Loose vine/groundcover,#D16E98
Rose 'Chris Evert',"Rosa, Hybrid Tea 'Chris Evert'",ROSES,89.svg,dense-needle-conifer,Dense needle/conifer,#E395B6
Rose 'Chrysler Imperial',"Rosa, Hybrid Tea 'Chrysler Imperial'",ROSES,60.svg,smooth-round-mound,Smooth round mound,#D792C1
Rose 'Double Delight',"Rosa, Hybrid Tea 'Double Delight'",ROSES,57.svg,open-shrub-mass,Open shrub mass,#D381B8
Easy Spirit&#8482; Rose,"Rosa, Floribunda 'Easy Spirit'",ROSES,98.svg,trailing-leaf-mass,Trailing leaf mass,#D36C87
Ebb Tide&#8482; Rose,"Rosa, Floribunda 'Ebb Tide'",ROSES,109.svg,simple-dot-canopy,Simple dot canopy,#E2A0CE
Rose 'Fragrant Cloud',"Rosa, Hybrid Tea 'Fragrant Cloud'",ROSES,75.svg,textured-round-groundcover,Textured round groundcover,#D0759F
Rose 'Fragrant Plum',"Rosa, grandiflora ??Fragrant Plum??",ROSES,21.svg,irregular-shrub-mass,Irregular shrub mass,#CC7E92
Rose 'Full Sail',"Rosa, Hybrid Tea 'Full Sail'",ROSES,10.svg,ringed-tree-canopy,Ringed tree canopy,#E59CC5
Rose 'Gingersnap',,ROSES,24.svg,dense-textured-groundcover,Dense textured groundcover,#D3719E
Good as Gold&#8482; Rose,"Rosa, Hybrid Tea 'Good as Gold'",ROSES,11.svg,broken-texture-shrub,Broken texture shrub,#DDC236
Rose 'Heirloom',"Rosa, Hybrid Tea 'Heirloom'",ROSES,86.svg,branching-vine-shrub,Branching vine/shrub,#D995B8
Rose 'Henry Fonda',"Rosa, Hybrid Tea 'Henry Fonda'",ROSES,107.svg,fringed-round-shrub,Fringed round shrub,#D87695
Rose 'Ingrid Bergman',"Rosa, Hybrid Tea 'Ingrid Bergman'",ROSES,87.svg,dense-wavy-shrub,Dense wavy shrub,#D78CA6
Rose 'Judy Garland',"Rosa, Floribunda 'Judy Garland'",ROSES,60.svg,smooth-round-mound,Smooth round mound,#D66EA0
Rose 'Julia Child',"Rosa, Floribunda 'Julia Child'",ROSES,60.svg,smooth-round-mound,Smooth round mound,#DEA9C7
Rose 'Just Joey',"Rosa, Hybrid Tea 'Just Joey'",ROSES,21.svg,irregular-shrub-mass,Irregular shrub mass,#E19BBE
Ketchup & Mustard&#8482; Rose,,ROSES,57.svg,open-shrub-mass,Open shrub mass,#E1A6B7
Legends&#8482; Rose,"Rosa, Hybrid Tea, 'Legends'",ROSES,107.svg,fringed-round-shrub,Fringed round shrub,#DA849D
Rose 'Martha Stewart',"Rosa, Hybrid Tea 'Martha Stewart'",ROSES,29.svg,flowering-shrub-mass,Flowering shrub mass,#DF89B2
Rose 'Mister Lincoln',"Rosa, Hybrid Tea 'Mr. Lincoln'",ROSES,106.svg,spiral-groundcover-mass,Spiral groundcover mass,#D278B9
Rose 'Neil Diamond',"Rosa, Hybrid Tea 'Neil Diamond'",ROSES,105.svg,soft-textured-round-shrub,Soft textured round shrub,#D0759C
Rose 'Oklahoma',"Rosa, Hybrid Tea 'Oklahoma'",ROSES,57.svg,open-shrub-mass,Open shrub mass,#D89ABF
Rose 'Peace',"Rosa, Hybrid Tea 'Peace'",ROSES,5.svg,round-dense-canopy,Round dense canopy,#DD81A2
Rose 'Perfect Moment',"Rosa, Hybrid Tea 'Perfect Moment'",ROSES,7.svg,irregular-shrub-canopy,Irregular shrub canopy,#CF7AB0
Rose 'Perfume Delight',"Rosa, Hybrid Tea 'Perfume Delight'",ROSES,21.svg,irregular-shrub-mass,Irregular shrub mass,#D494A5
Rose 'Pink Peace',"Rosa, Hybrid Tea 'Pink Peace'",ROSES,75.svg,textured-round-groundcover,Textured round groundcover,#D86792
Princess Charlene de Monaco&#174; Rose,"Rosa, Hybrid Tea 'Princess Charlene de Monaco'",ROSES,87.svg,dense-wavy-shrub,Dense wavy shrub,#DD819D
